id_proyecto,nombre_proyecto,direccion,id_programa,id_proyecto_estado,id_proyecto_subestado,coordenada_x,coordenada_y;;;;;;;;;;;;
;;;;;;;;;;;;
id_proyecto;dependencia;id_dependencia;nombre_proyecto;id_programa;nombre_programa;id_proyecto_estado;proyecto_estado;id_proyecto_subestado;proyecto_subestado;direccion;x;y
88;EDUBAR;2;InfraEducativa-3691 - IE Hilda Muñoz[Cocina];5;Colegios ;3;Contractual;7;En_Ejecución;CL. 70C # 24B - 24;-74,78739007;10,94542672
89;EDUBAR;2;InfraEducativa-3691 - IE CODEBA[Cocina];5;Colegios ;3;Contractual;7;En_Ejecución; Cl. 68 #47-64;-74,80844616;10,97388888
90;EDUBAR;2;InfraEducativa-3691 - IE Salvador Entregas[Cocina];5;Colegios ;3;Contractual;7;En_Ejecución;CL 58 20 B 40;-74,829011;10,978194
91;EDUBAR;2;InfraEducativa-3691 - IE Hogar Mariano [Cocina];5;Colegios ;3;Contractual;7;En_Ejecución;KR 14 58 36;-74,788147;11,015061
92;EDUBAR;2;InfraEducativa-3691 - IE Maria Inmaculada [Cocina];5;Colegios ;3;Contractual;7;En_Ejecución;KR 29 70 B 60;-74,832956;10,975847
93;EDUBAR;2;InfraEducativa-3691 - IE Mayor de Barranquilla [Cocina];5;Colegios ;3;Contractual;7;En_Ejecución;Calle 47 # 44 - 97 ;-74,79270689;10,94754919
94;EDUBAR;2;InfraSalud-1893 - CAMINO Nuevo Barranquilla;14;Hospital;4;Postcontractual;9;Terminado;Calle 33 #33-09;;
95;EDUBAR;2;InfraSalud-1893 - PASO San Camilo;24;Pasos;4;Postcontractual;9;Terminado;;-74,83422222;10,96133333
96;EDUBAR;2;Escenarios - Mantenimiento Escenarios Deportivos;11;Escenarios deportivos ;4;Postcontractual;9;Terminado;-;-74,82819444;10,93575
97;EDUBAR;2;MejoramientoViviendas-0003 - Módulo 1;20;Mejoramiento de viviendas;3;Contractual;7;En_Ejecución;-;-74,82111111;10,96086111
98;EDUBAR;2;MejoramientoViviendas-0003 - Módulo 2;20;Mejoramiento de viviendas;3;Contractual;7;En_Ejecución;-;;
99;EDUBAR;2;MejoramientoViviendas-0003 - Módulo 3;20;Mejoramiento de viviendas;3;Contractual;7;En_Ejecución;-;;
100;EDUBAR;2;MejoramientoViviendas-0003 - Módulo 4;20;Mejoramiento de viviendas;3;Contractual;7;En_Ejecución;-;-74,78822222;11,01508333
101;EDUBAR;2;MejoramientoViviendas-0003 - Módulo 5;20;Mejoramiento de viviendas;3;Contractual;7;En_Ejecución;-;;
102;EDUBAR;2;MejoramientoViviendas-0003 - Módulo 6;20;Mejoramiento de viviendas;3;Contractual;7;En_Ejecución;-;;
103;EDUBAR;2;MejoramientoViviendas-0003 - Módulo 7;20;Mejoramiento de viviendas;3;Contractual;7;En_Ejecución;-;-74,85461111;11,03047222
104;EDUBAR;2;MejoramientoViviendas-0003 - Módulo 8;20;Mejoramiento de viviendas;3;Contractual;7;En_Ejecución;-;;
105;EDUBAR;2;Mantenimiento de estaciones (Transmetro), portal de soledad y estación de retorno joe arroyo de transmetro;25;SITP;4;Postcontractual;9;Terminado;-;-74,85461111;11,03047222
106;EDUBAR;2;InfraEducativa-4513 - IED Sofia Camargo de Lleras sede 1- FASE 1[Construcción];5;Colegios ;3;Contractual;7;En_Ejecución;CALLE 53D # 21- 36;;
107;EDUBAR;2;InfraEducativa-4513 - IED Sofia Camargo de Lleras sede 1- FASE 2[Construcción];5;Colegios ;3;Contractual;7;En_Ejecución;CALLE 53D # 21- 36;-74,76802778;10,99108333
108;EDUBAR;2;InfraEducativa-4513 - IED Sofia Camargo de Lleras sede 1- FASE 3[Construcción];5;Colegios ;3;Contractual;7;En_Ejecución;CALLE 53D # 21- 36;-74,782243;10,9859
109;EDUBAR;2;InfraEducativa-4513 - IED Salvador Suarez Suarez [Construcción];5;Colegios ;3;Contractual;7;En_Ejecución; CARRERA 25B No 55 – 30;-74,782243;10,9859
110;EDUBAR;2;InfraEducativa-4513 - IED San Luis Sede Gardenias[Construcción];5;Colegios ;3;Contractual;7;En_Ejecución;CALLE 98C # 1E-99;-74,782243;10,9859
111;EDUBAR;2;InfraEducativa-4513 - IED La Américas [Construcción];5;Colegios ;3;Contractual;7;En_Ejecución;CARRERA 4A # 54C-06;-74,782243;10,9859
112;EDUBAR;2;InfraEducativa-4513 - IED INSTECO sede 2 [Construcción];5;Colegios ;3;Contractual;7;En_Ejecución;CALLE 40 # 38-50;-74,83244896463150;10,93348164
113;EDUBAR;2;InfraEducativa-4513 - IED María Inmaculada;5;Colegios ;3;Contractual;7;En_Ejecución;CARRERA 29 # 70B-60;-7,47673E+15;10,94719033
114;EDUBAR;2;InfraEducativa-4513 - IED Olaya;5;Colegios ;3;Contractual;7;En_Ejecución;CALLE 70b #27B-36;-7,4789E+15;10,9446312
115;EDUBAR;2;InfraEducativa-4513 - IED Fundación Pies Descalzos;5;Colegios ;3;Contractual;7;En_Ejecución;CL 14 17 80;-7,4828E+14;10,93640144
116;EDUBAR;2;InfraEducativa-4513 - IED Luis Carlos Galán Sarmiento;5;Colegios ;3;Contractual;7;En_Ejecución;KR 15 14 02;-7,48004E+15;10,93016305
117;EDUBAR;2;InfraEducativa-4513 - IED Mundo Bolivariano;5;Colegios ;3;Contractual;7;En_Ejecución;CL 98 7 F 07;-7,47744E+15;10,96649065
118;EDUBAR;2;InfraEducativa-4513 - IED Tierra Santa 2;5;Colegios ;3;Contractual;7;En_Ejecución;KR 6 E 60 13;-7,479E+15;10,96238958
119;EDUBAR;2;InfraEducativa-4513 - IED Buenos Aires;5;Colegios ;3;Contractual;7;En_Ejecución;CL 44 KR 5 B 46;-7,4791E+14;10,94876154
120;EDUBAR;2;InfraEducativa-4513 - IDEHUCA;5;Colegios ;3;Contractual;7;En_Ejecución;KR 68 71 41;-74,81255286;10,9398605
121;EDUBAR;2;InfraEducativa-4513 - IED El Pueblo;5;Colegios ;3;Contractual;7;En_Ejecución;CL 116 12 24;-74,82673294;10,97845304
122;EDUBAR;2;InfraEducativa-4513 - IED La Merced;5;Colegios ;3;Contractual;7;En_Ejecución;CL 57 30 23;-74,89336498;10,95572802
123;EDUBAR;2;InfraEducativa-4513 - IED Jorge Robledo;5;Colegios ;3;Contractual;7;En_Ejecución;KR 15 SUR 74 170;-74,83221965;10,9564144
124;EDUBAR;2;InfraEducativa-4513 - IED San Miguel Arcangel;5;Colegios ;3;Contractual;7;En_Ejecución;KR 23 11 37;-74,82793706;10,95852102
125;EDUBAR;2;InfraEducativa-4513 - IED Karl Parrish;5;Colegios ;3;Contractual;7;En_Ejecución;KR 27 45 277;-74,82660611;10,94841229
126;EDUBAR;2;InfraEducativa-4513 - IED Pablo Neruda[Construcción];5;Colegios ;3;Contractual;7;En_Ejecución;CARRERA 4A SUR #48-47;-74,78131355;10,96194442
127;EDUBAR;2;InfraEducativa-4513 - IED Carlos Meisel[Construcción];5;Colegios ;3;Contractual;7;En_Ejecución;CALLE 74 #24-139;-74,81840544;10,9332498
128;EDUBAR;2;InfraEducativa-4513 - IED Alfonso Lopez [Construcción];5;Colegios ;3;Contractual;7;En_Ejecución;CALLE 17 #26-45;-74,77341392;10,94771797
129;EDUBAR;2;InfraEducativa-4513 - IED Marco Fidel Suarez [Construcción];5;Colegios ;3;Contractual;7;En_Ejecución;CARRERA 6B # 36B-46;-74,77987238;10,94192757
130;EDUBAR;2;InfraEducativa-4513 - IED Sarid Arteta de Vasquez Sede 2 [Construcción];5;Colegios ;3;Contractual;7;En_Ejecución;CARRERA 18 # 47-72;-74,82146138;10,94356043
131;EDUBAR;2;InfraEducativa-4513 - IED La Magdalena;5;Colegios ;3;Contractual;7;En_Ejecución;CALLE 41 #7-07;-74,77741051;10,95377851
132;EDUBAR;2;InfraEducativa-4513 - IED Manuel Zapata Olivella;5;Colegios ;3;Contractual;7;En_Ejecución;CALLE 84 # 27 17;-74,78901315;10,97523711
133;EDUBAR;2;InfraEducativa-4513 - IED La Esmeralda;5;Colegios ;3;Contractual;7;En_Ejecución;CALLE 84b #13E-26;-74,81981921;10,9366117
134;EDUBAR;2;InfraEducativa-4513 - IED Castillo La Alboraya;5;Colegios ;3;Contractual;7;En_Ejecución;CALLE 41 # 8A-62;-74,83047619;11,03484744
135;EDUBAR;2;InfraEducativa-4513 - IED Villanueva;5;Colegios ;3;Contractual;7;En_Ejecución;CALLE  5 #42D - 24;-74,82665999;10,9794451
136;EDUBAR;2;Canalizacion Arroyo Calle 85;2;Arroyos ;3;Contractual;7;En_Ejecución;;-74,83190866;10,96776078
137;EDUBAR;2;Skatepark;11;Escenarios deportivos ;3;Contractual;7;En_Ejecución;Malecon del Rio ;-74,78623473;10,9858706
138;ADI;1;MallaVial-017 - Calle 30 [cra 46 y circunvalar];18;Malla Vial;4;Postcontractual;9;Terminado;Calle 30 entre Av. Circunvalar y carrera 46;-7,47931E+15;10,98588043
139;ADI;1;MallaVial-017 - Vía Circunvalar [cra 38 y cra 12A];18;Malla Vial;4;Postcontractual;9;Terminado;AVENIDA CIRCUNVALAR ENTRE CARRERAS 13 Y 38;-7,47781E+15;10,95887359
140;ADI;1;MallaVial-017 - Vía Cordialidad [Av.circunvalar y cra 23];18;Malla Vial;4;Postcontractual;9;Terminado;AV. CORDIALIDAD ENTRE AV. CIRCUNVALAR Y CARRERA 23;-7,48095E+15;10,9794072
141;ADI;1;Arroyos-1622 - Arroyo Cra 21;2;Arroyos ;3;Contractual;8;Suspendido;Carrera 21 entre calles 30 y 53D, Calle 47B entre carreras 21 y 20, Calle 37 con carrera 21 hasta la calle 40 con carrera 13C;-7,48072E+14;11,02363452
142;ADI;1;Arroyos-1622 - Arroyo Cra 65;2;Arroyos ;4;Postcontractual;9;Terminado;Entre carrera 45 con via 40 hasta calle 62 con carrera 45;-7,48151E+14;10,98839901
143;ADI;1;Arroyos-1622 - Arroyo Felicidad;2;Arroyos ;3;Contractual;8;Suspendido;Desde la Calle 48 con carrera 54 hasta la calle 57 con carrera 27;-7,48393E+15;10,97227775
144;ADI;1;Parques-VI - Parque las Estrellas ;21;Parques;4;Postcontractual;11;Entregado;K 36 Y 35B C 84 Y 87;-7,47812E+15;10,9423323
145;ADI;1;Parques-VI - Parque las Palmeras;21;Parques;4;Postcontractual;11;Entregado;C 46K K 3A;-7,48149E+15;11,0274433
146;ADI;1;Parques-VI - Parque Pequeños gigantes;21;Parques;4;Postcontractual;11;Entregado;C 46C y 46E K 16 SUR y 16A SUR;-7,48215E+15;10,93119152
147;ADI;1;Parques-VI - Parque El Limon 2;21;Parques;4;Postcontractual;11;Entregado;C 34 K 5C Y 6;-7,48203E+15;10,96392682
148;ADI;1;Parques-VI - Parque El Milagro ;21;Parques;3;Contractual;7;En_Ejecución;C 38 K 1H;-7,48114E+15;10,92474727
149;ADI;1;Parques-VI - Parque Concha Conidec;21;Parques;4;Postcontractual;11;Entregado;C 49 K 5B Sur;-7,48054E+14;10,98619266
150;ADI;1;Parques-VI - Parque karla Gonzalez - Argos;21;Parques;4;Postcontractual;9;Terminado;C 96 K72;-7,48082E+15;1,09746E+15
151;ADI;1;Parques-VI - Parque la Castellana - Argos;21;Parques;4;Postcontractual;11;Entregado;K 65 C 99;-7,48409E+14;10,97166978
152;ADI;1;Parques-VI - Parque Villas de San Pablo;21;Parques;4;Postcontractual;9;Terminado;C 134 K 9G;-7,48279E+15;10,93558837
153;ADI;1;Parques-VII - Grupo 1 Parque Malecon Sur Oriente;21;Parques;3;Contractual;7;En_Ejecución;K23 C28 - K27 C8;-7,48122E+15;10,96821468
154;ADI;1;Parques-VII - Grupo 2 Parque Unidad Deportiva la Magdalena;21;Parques;3;Contractual;7;En_Ejecución;K 6B C 35B;-7,48037E+15;11,02514888
155;ADI;1;Parques-VII - Grupo 3 Cancha De Minifutbol Ciudad Modesto;21;Parques;3;Contractual;9;Terminado;K 12A C 94;-7,48143E+15;1,10204E+16
156;ADI;1;Parques-VII - Grupo 3 Parque Productivo - Huerta Urbana Villas de San Pablo;21;Parques;3;Contractual;7;En_Ejecución;C 134 K 28;-7,48025E+15;1,09715E+16
157;ADI;1;Parques-VII - Grupo 3 Parque La Union II;21;Parques;3;Contractual;9;Terminado;K 16 C 31;-7,48072E+14;11,02363452
158;ADI;1;Parques-VII - Grupo 3 Parque Residual las Americas;21;Parques;3;Contractual;9;Terminado;K 4 C54;-7,48149E+14;1,0983E+15
159;ADI;1;Parques-VII - Grupo 4 Parque Villa Cordialidad;21;Parques;3;Contractual;7;En_Ejecución;C 73C K 13;-7,48135E+14;1,0984E+16
160;ADI;1;Parques-VII - Grupo 4 Parque Villa San Pedro;21;Parques;3;Contractual;9;Terminado;K 6P Y 6Q - C 102 Y 102A;-7,47762E+15;1,09534E+16
161;ADI;1;Parques-VII - Grupo 4 Parque Jorge Robledo Ortiz;21;Parques;3;Contractual;7;En_Ejecución;K 15 C 73 AV. Circunvalar;-7,47731E+15;1,0948E+16
162;ADI;1;Parques-VII - Grupo 4 Parque El 5 y 6;21;Parques;3;Contractual;7;En_Ejecución;K 6 C 74A;-7,47936E+15;1,09354E+16
163;ADI;1;Parques-VII - Grupo 4 Parque Roble Morado;21;Parques;3;Contractual;7;En_Ejecución;K 8 Sur C 50C;-7,47667E+15;1,09474E+16
164;ADI;1;Parques-VII - Grupo 5 Cancha Villa del Carmen;21;Parques;3;Contractual;7;En_Ejecución;C 73C K 13;-7,47895E+15;1,09446E+16
