;id_proyecto;nombre_proyecto;direccion;id_programa;id_proyecto_estado;id_proyecto_subestado;coordenada_x;coordenada_y;valor_inicial_obra;valor_total_adicionado_obra;valor_total_facturado_obra;valor_total_pagado_obra;valor_inicial_interventoria;valor_total_adicionado_interventoria;valor_total_facturado_interventoria;valor_total_pagado_interventoria;fecha_entrega;ampliacion_contractual;;
;53;Playa de Puerto Mocho - Adición No.1 (playa 1);null;22;4;9;null;null;null;$ 15.009.346.085,00;null;null;null;$ 868.562.768,20;null;null;31/10/2024;false;;
;54;MP-2989 - Mercado Tajamar;calle 106 con 111;23;4;11;-74,82694444;11,045;$ 12.636.583.690,00;null;$ 80.675.437.214,52;$ 80.502.232.639,99;$ 2.506.709.098,00;$ 2.372.520.475,00;$ 4.520.872.712,43;$ 3.232.977.515,07;5/09/2024;false;;
;55;MP-2989 - Mercado Sredni;calle 38 con 43;23;4;11;-74,78106362;10,98199503;$ 7.709.538.000,00;null;$ 80.675.437.214,52;$ 80.502.232.639,99;$ 2.506.709.098,00;$ 2.372.520.475,00;$ 4.520.872.712,43;$ 3.232.977.515,07;21/02/2024;false;;
;56;MP-2989 - Mercado Del Rio;null;23;3;7;-74,76997222;10,99305556;$ 29.920.187.933,19;null;$ 80.675.437.214,52;$ 80.502.232.639,99;$ 2.506.709.098,00;$ 2.372.520.475,00;$ 4.520.872.712,43;$ 3.232.977.515,07;30/11/2025;false;;
;57;MP-2989 - Mercado La Magola;cra 42B entre calles 31 y 33;23;4;11;-74,77537948;10,97935402;$ 1.050.450.000,00;null;$ 80.675.437.214,52;$ 80.502.232.639,99;$ 2.506.709.098,00;$ 2.372.520.475,00;$ 4.520.872.712,43;$ 3.232.977.515,07;30/06/2024;false;;
;58;MP-2989 - Parqueadero Multiproposito Barlovento;C 9A 46A 115;23;4;11;-74,77587679;10,98652453;$ 2.797.245.954,00;null;$ 80.675.437.214,52;$ 80.502.232.639,99;$ 2.506.709.098,00;$ 2.372.520.475,00;$ 4.520.872.712,43;$ 3.232.977.515,07;30/06/2024;false;;
;59;MP-2989 - Mercado Gran Bazar;C 9 41N 52;23;4;11;-74,77258739;10,97869195;$ 36.506.105.153,07;null;$ 36.506.105.153,05;$ 33.656.319.525,03;$ 1.549.714.271,00;$ 197.575.700,00;$ 1.747.289.971,00;$ 1.615.249.862,85;15/10/2023;false;;
;60;MP-2989-Mercado de EPM;C 30 44 100;23;4;11;null;null;$ 1.080.269.844,00;null;$ 80.675.437.214,52;$ 80.502.232.639,99;$ 2.506.709.098,00;$ 2.372.520.475,00;$ 4.520.872.712,43;$ 3.232.977.515,07;15/11/2024;false;;
;61;MP-2989-Mercado El Playon;C 30 41A 44;23;3;7;null;null;$ 30.652.617.135,00;null;$ 80.675.437.214,52;$ 80.502.232.639,99;$ 2.506.709.098,00;$ 2.372.520.475,00;$ 4.520.872.712,43;$ 3.232.977.515,07;30/11/2025;false;;
;62;TEU-2438 - Carrera 53;carrera 53 entre calles 80 a la 87;27;3;8;-74,81166667;11,00555556;$ 9.254.168.380,35;null;$ 25.196.782.528,00;$ 23.908.722.669,00;$ 1.226.742.000,00;$ 270.858.875,00;$ 1.126.553.602,00;$ 995.962.806,00;30/06/2024;false;;
;63;TEU-2438 - Malecon UF3;Gran Malecon del Rio UF3;27;4;11;-74,78861111;11,01527778;$ 13.100.000.000,00;null;$ 25.196.782.528,00;$ 23.908.722.669,00;$ 1.226.742.000,00;$ 270.858.875,00;$ 1.126.553.602,00;$ 995.962.806,00;30/06/2024;false;;
;64;TEU-2438 - Centro Urbano Comunitario Barlovento;Carrera 50 con calle 9A;27;4;11;-74,77610878;10,98796399;$ 543.695.547,98;null;$ 25.196.782.528,00;$ 23.908.722.669,00;$ 1.226.742.000,00;$ 270.858.875,00;$ 1.126.553.602,00;$ 995.962.806,00;10/04/2024;false;;
;65;TEU-2438 - Plaza de Pescado;Carrea 42 # 7-39;27;4;11;-74,77111111;10,97916667;$ 937.747.043,16;null;$ 25.196.782.528,00;$ 23.908.722.669,00;$ 1.226.742.000,00;$ 270.858.875,00;$ 1.126.553.602,00;$ 995.962.806,00;30/06/2024;false;;
;66;TEU-2438 - Callejon de Robertico ;Calle 30 # 42-15;27;4;11;-74,77663612;10,97934151;$ 167.859.788,03;null;$ 25.196.782.528,00;$ 23.908.722.669,00;$ 1.226.742.000,00;$ 270.858.875,00;$ 1.126.553.602,00;$ 995.962.806,00;30/06/2024;false;;
;67;TEU-2438 - Callejon del Meao;cra 42B entre calles 31 y 33;27;4;11;-74,77583393;10,97996229;$ 292.208.995,13;null;$ 25.196.782.528,00;$ 23.908.722.669,00;$ 1.226.742.000,00;$ 270.858.875,00;$ 1.126.553.602,00;$ 995.962.806,00;30/06/2024;false;;
;68;TEU-2438 - Centro urbano comunitario las Americas;Cra 3C # 52B- 141;27;4;11;-74,81111111;10,94083333;$ 534.416.086,04;null;$ 25.196.782.528,00;$ 23.908.722.669,00;$ 1.226.742.000,00;$ 270.858.875,00;$ 1.126.553.602,00;$ 995.962.806,00;7/03/2024;false;;
;69;Recuperación Caños - Recuperación Integral Caño de la Ahuyama;null;1;3;7;-74,77057984;10,96863957;$ 93.425.142.894,00;null;$ 65.554.736.477,00;$ 65.554.736.477,00;$ 6.554.853.200,00;null;$ 4.527.437.105,24;$ 4.527.437.105,24;30/09/2025;false;;
